# Farfield Pattern Export
# Frequency [Hz]: 3.000000e+09
# N elements: 8
# Directivity [dBi]: 6.81
Theta [deg.]; Phi [deg.]; Abs(Dir.)[dB]; Abs(F); Phase(F)[deg.]
-40.8600; 0.0000; -24.1475; 0.082021; 38.2159
-40.6800; 0.0000; -24.0701; 0.082532; 36.0624
-40.5000; 0.0000; -23.9843; 0.083126; 33.9558
-40.3200; 0.0000; -23.8910; 0.083800; 31.8993
-40.1400; 0.0000; -23.7906; 0.084549; 29.8958
-39.9600; 0.0000; -23.6840; 0.085368; 27.9476
-39.7800; 0.0000; -23.5717; 0.086251; 26.0566
-39.6000; 0.0000; -23.4546; 0.087195; 24.2241
-39.4200; 0.0000; -23.3332; 0.088193; 22.4510
-39.2400; 0.0000; -23.2082; 0.089241; 20.7378
-39.0600; 0.0000; -23.0802; 0.090335; 19.0847
-38.8800; 0.0000; -22.9498; 0.091468; 17.4914
-38.7000; 0.0000; -22.8175; 0.092638; 15.9576
-38.5200; 0.0000; -22.6839; 0.093839; 14.4827
-38.3400; 0.0000; -22.5493; 0.095067; 13.0658
-38.1600; 0.0000; -22.4142; 0.096318; 11.7060
-37.9800; 0.0000; -22.2791; 0.097588; 10.4022
-37.8000; 0.0000; -22.1442; 0.098873; 9.1533
-37.6200; 0.0000; -22.0099; 0.100170; 7.9581
-37.4400; 0.0000; -21.8765; 0.101475; 6.8152
-37.2600; 0.0000; -21.7442; 0.102786; 5.7236
-37.0800; 0.0000; -21.6133; 0.104098; 4.6818
-36.9000; 0.0000; -21.4840; 0.105410; 3.6888
-36.7200; 0.0000; -21.3564; 0.106719; 2.7433
-36.5400; 0.0000; -21.2307; 0.108022; 1.8440
-36.3600; 0.0000; -21.1070; 0.109317; 0.9900
-36.1800; 0.0000; -20.9854; 0.110603; 0.1801
-36.0000; 0.0000; -20.8661; 0.111876; -0.5866
-35.8200; 0.0000; -20.7491; 0.113135; -1.3113
-35.6400; 0.0000; -20.6345; 0.114380; -1.9947
-35.4600; 0.0000; -20.5223; 0.115607; -2.6377
-35.2800; 0.0000; -20.4125; 0.116817; -3.2412
-35.1000; 0.0000; -20.3052; 0.118007; -3.8058
-34.9200; 0.0000; -20.2003; 0.119178; -4.3322
-34.7400; 0.0000; -20.0980; 0.120327; -4.8211
-34.5600; 0.0000; -19.9980; 0.121456; -5.2729
-34.3800; 0.0000; -19.9005; 0.122562; -5.6883
-34.2000; 0.0000; -19.8055; 0.123646; -6.0676
-34.0200; 0.0000; -19.7127; 0.124707; -6.4112
-33.8400; 0.0000; -19.6223; 0.125746; -6.7196
-33.6600; 0.0000; -19.5341; 0.126763; -6.9931
-33.4800; 0.0000; -19.4481; 0.127758; -7.2319
-33.3000; 0.0000; -19.3642; 0.128732; -7.4362
-33.1200; 0.0000; -19.2823; 0.129684; -7.6064
-32.9400; 0.0000; -19.2023; 0.130617; -7.7425
-32.7600; 0.0000; -19.1242; 0.131530; -7.8447
-32.5800; 0.0000; -19.0477; 0.132426; -7.9131
-32.4000; 0.0000; -18.9729; 0.133304; -7.9480
-32.2200; 0.0000; -18.8995; 0.134168; -7.9492
-32.0400; 0.0000; -18.8275; 0.135019; -7.9171
-31.8600; 0.0000; -18.7567; 0.135858; -7.8516
-31.6800; 0.0000; -18.6869; 0.136688; -7.7529
-31.5000; 0.0000; -18.6180; 0.137510; -7.6211
-31.3200; 0.0000; -18.5498; 0.138328; -7.4562
-31.1400; 0.0000; -18.4822; 0.139143; -7.2585
-30.9600; 0.0000; -18.4150; 0.139959; -7.0282
-30.7800; 0.0000; -18.3480; 0.140779; -6.7653
-30.6000; 0.0000; -18.2809; 0.141605; -6.4702
-30.4200; 0.0000; -18.2137; 0.142442; -6.1432
-30.2400; 0.0000; -18.1460; 0.143292; -5.7846
-30.0600; 0.0000; -18.0777; 0.144160; -5.3949
-29.8800; 0.0000; -18.0086; 0.145049; -4.9745
-29.7000; 0.0000; -17.9384; 0.145963; -4.5241
-29.5200; 0.0000; -17.8669; 0.146907; -4.0441
-29.3400; 0.0000; -17.7939; 0.147885; -3.5355
-29.1600; 0.0000; -17.7192; 0.148901; -2.9989
-28.9800; 0.0000; -17.6425; 0.149959; -2.4353
-28.8000; 0.0000; -17.5636; 0.151065; -1.8458
-28.6200; 0.0000; -17.4823; 0.152223; -1.2315
-28.4400; 0.0000; -17.3984; 0.153438; -0.5935
-28.2600; 0.0000; -17.3117; 0.154715; 0.0668
-28.0800; 0.0000; -17.2220; 0.156058; 0.7480
-27.9000; 0.0000; -17.1292; 0.157473; 1.4485
-27.7200; 0.0000; -17.0329; 0.158963; 2.1668
-27.5400; 0.0000; -16.9332; 0.160535; 2.9011
-27.3600; 0.0000; -16.8298; 0.162192; 3.6497
-27.1800; 0.0000; -16.7227; 0.163939; 4.4107
-27.0000; 0.0000; -16.6117; 0.165781; 5.1823
-26.8200; 0.0000; -16.4968; 0.167722; 5.9625
-26.6400; 0.0000; -16.3778; 0.169765; 6.7494
-26.4600; 0.0000; -16.2549; 0.171915; 7.5409
-26.2800; 0.0000; -16.1278; 0.174176; 8.3351
-26.1000; 0.0000; -15.9968; 0.176551; 9.1299
-25.9200; 0.0000; -15.8617; 0.179043; 9.9235
-25.7400; 0.0000; -15.7227; 0.181656; 10.7139
-25.5600; 0.0000; -15.5798; 0.184391; 11.4993
-25.3800; 0.0000; -15.4331; 0.187252; 12.2778
-25.2000; 0.0000; -15.2826; 0.190240; 13.0477
-25.0200; 0.0000; -15.1286; 0.193358; 13.8074
-24.8400; 0.0000; -14.9712; 0.196607; 14.5554
-24.6600; 0.0000; -14.8105; 0.199989; 15.2901
-24.4800; 0.0000; -14.6467; 0.203504; 16.0103
-24.3000; 0.0000; -14.4799; 0.207154; 16.7147
-24.1200; 0.0000; -14.3104; 0.210938; 17.4023
-23.9400; 0.0000; -14.1383; 0.214858; 18.0719
-23.7600; 0.0000; -13.9639; 0.218913; 18.7227
-23.5800; 0.0000; -13.7872; 0.223103; 19.3539
-23.4000; 0.0000; -13.6086; 0.227427; 19.9649
-23.2200; 0.0000; -13.4282; 0.231886; 20.5551
-23.0400; 0.0000; -13.2462; 0.236479; 21.1241
-22.8600; 0.0000; -13.0628; 0.241203; 21.6714
-22.6800; 0.0000; -12.8782; 0.246059; 22.1968
-22.5000; 0.0000; -12.6927; 0.251045; 22.7001
-22.3200; 0.0000; -12.5062; 0.256160; 23.1812
-22.1400; 0.0000; -12.3191; 0.261401; 23.6400
-21.9600; 0.0000; -12.1316; 0.266767; 24.0767
-21.7800; 0.0000; -11.9437; 0.272257; 24.4912
-21.6000; 0.0000; -11.7556; 0.277869; 24.8838
-21.4200; 0.0000; -11.5676; 0.283599; 25.2546
-21.2400; 0.0000; -11.3796; 0.289447; 25.6039
-21.0600; 0.0000; -11.1919; 0.295410; 25.9319
-20.8800; 0.0000; -11.0047; 0.301486; 26.2390
-20.7000; 0.0000; -10.8179; 0.307672; 26.5255
-20.5200; 0.0000; -10.6317; 0.313967; 26.7918
-20.3400; 0.0000; -10.4463; 0.320367; 27.0383
-20.1600; 0.0000; -10.2617; 0.326869; 27.2653
-19.9800; 0.0000; -10.0780; 0.333473; 27.4733
-19.8000; 0.0000; -9.8953; 0.340174; 27.6627
-19.6200; 0.0000; -9.7137; 0.346970; 27.8340
-19.4400; 0.0000; -9.5333; 0.353859; 27.9875
-19.2600; 0.0000; -9.3540; 0.360837; 28.1237
-19.0800; 0.0000; -9.1761; 0.367902; 28.2432
-18.9000; 0.0000; -8.9996; 0.375052; 28.3462
